Temperature,N2 --> 2N (delta G),O2 --> 2O (delta G),NO --> N + O (delta G),kp_N2_2N,kp_O2_2O,kp_NO_N_O
100,223038.65,115980.83,148231.36,0,0,0
200,220503.26,113461.3,145977.24,0,0,0
300,217811.84,110734.12,143560.13,0,0,0
400,215019.46,107888.96,141038.78,0,0,0
500,212152.6,104965.6,138442.95,0,0,0
600,209228.18,101986.88,135791.42,0,0,0
700,206258.15,98967.49,133097.18,0,0,0
800,203250.64,95916.68,130369.12,0,0,0
900,200212.65,92841.22,127614.12,0,0,0
1000,197149.4,89745.6,124836.8,0,0,0
1100,194065.03,86633.28,122041.13,0,0,0
1200,190962.3,83506.74,119229.54,0,0,0
1300,187844.1,80368.35,116404.68,0,0,0
1400,184712.28,77218.12,113567.44,0,0,0
1500,181568.2,74060.95,110720.7,0,0,0
1600,178413.54,70894.28,107863.86,0,2.06989E-10,0
1700,175248.99,67720.44,104999.09,0,1.96624E-09,0
1800,172075.8,64540.2,102126.34,0,1.45704E-08,0
1900,168894.85,61353.99,99246.71,0,8.75851E-08,0
2000,165706.4,58162.8,96360.8,0,4.40594E-07,0
2100,162511.29,54966.72,93468.71,0,1.90255E-06,1.87171E-10
2200,159309.94,51766.66,90571.24,0,7.19902E-06,1.00521E-09
2300,156102.45,48563.11,87668.74,0,2.42822E-05,4.66953E-09
2400,152890.5,45355.74,84761.32,0,7.40711E-05,1.91053E-08
2500,149672.25,42145.5,81848.9,0,0.000206782,6.99068E-08
2600,146449.6,38933.28,78932.76,0,0.000533635,2.31666E-07
2700,143222.74,35718.04,76012.26,0,0.001284465,7.03097E-07
2800,139991.32,32478.02,73087.94,0,0.002916662,1.97254E-06
2900,136755.2,29281.21,70159.29,0,0.006211985,5.15782E-06
3000,133515.4,26059.9,67227.5,1.87527E-10,0.012631939,1.26563E-05
3100,130271.53,22838.14,64292.36,6.53938E-10,0.024538891,2.93245E-05
3200,127024.32,19614.18,61353.34,2.11025E-09,0.045747361,6.45078E-05
3300,123773.28,16389.14,58411.31,6.34669E-09,0.082139882,0.000135345
3400,120518.1,13163.12,55465.78,1.79018E-08,0.142512468,0.000271999
3500,117258.95,9935.9,52517,4.76168E-08,0.239636167,0.000525502
3600,113997.34,6707.66,49565.16,1.19997E-07,0.391538912,0.000979212
3700,110731.5,3478.64,46610.31,2.87827E-07,0.623043007,0.001765006
3800,107461.72,248.72,43651.7,6.59662E-07,0.967597702,0.003085782
3900,104189.31,-2980.55,40693.09,1.4494E-06,1.469032032,0.005242546
4000,100912.4,-6212.6,37726.2,3.06342E-06,2.185006728,0.00868286
4100,97632.56,-9443.56,34759.19,6.24492E-06,3.187171123,0.014031398
4200,94348.34,-12675.72,31788.42,1.23125E-05,4.566812313,0.022172218
4300,91060.39,-15908.39,28814.66,2.3531E-05,6.435486572,0.0343105
4400,87768.68,-19142.26,25837.74,4.36855E-05,8.929721973,0.052069442
4500,84473.15,-22780.9,22655.05,7.89364E-05,12.7770616,0.079374562
4600,81173.86,-25609.78,19874.46,0.000139067,16.47348103,0.113687881
4700,77870.53,-28843.94,16885.22,0.000239273,21.9426976,0.163987169
4800,74563.02,-32079.74,13898.22,0.000402656,28.88561619,0.232902734
4900,71251,-35314.4,10905.66,0.000663665,37.59666125,0.326263381
5000,67934.4,-38551.3,7908.6,0.001072714,48.43241561,0.451131373
5100,64614.17,-41787.58,4909.1,0.001702143,61.77079658,0.616060388
5200,61290.08,-45026.18,1905.44,0.002654353,78.06645075,0.831598621
5300,57960.33,-48461.16,-1100.31,0.004072613,99.63382851,1.110129901
5400,54625.76,-51499.1,-4110.68,0.006153142,121.4383223,1.466811008
5500,51287.95,-54736.5,-7123.2,0.009160776,149.6598737,1.918933584
5600,47943.92,-57975.34,-10141.06,0.013453572,183.0923222,2.487635739
5700,44595.79,-61214.54,-13161.92,0.019500415,222.4212348,3.196489882
5800,41242.92,-64465.62,-16191.44,0.027917072,268.6680507,4.075036482
5900,37884.57,-67695.4,-19214.93,0.039501779,321.8738997,5.149812794
6000,34521.3,-70933.6,-22245.1,0.055273602,383.5716939,6.46109379
